d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,region,assists_per_level,damage_obj_per_level,damage_building_per_level,damage_turrets_per_level,deaths_per_level,kills_per_level,time_cc_per_level,damage_taken_per_level,turret_kills_per_level,vision_score_per_level,damage_total_per_level,gold_earned_per_level
14.0,4.0,Leona,Side.blue,9.0,0.0,63.0,0.0,9.0,1.1111111111111112,1.0,11.0,39.0,17876.0,0.0,59.0,13802,5933,Other,Few,EU,0.8181818181818182,0.0,5.7272727272727275,0.0,0.8181818181818182,0.09090909090909091,3.5454545454545454,1625.090909090909,0.0,5.363636363636363,1254.7272727272727,539.3636363636364
1.0,4.0,Ashe,Side.red,7.0,4885.0,9190.0,4885.0,5.0,2.0,3.0,14.0,26.0,17148.0,3.0,24.0,84282,10168,Other,Many,EU,0.5,348.92857142857144,656.4285714285714,348.92857142857144,0.35714285714285715,0.21428571428571427,1.8571428571428572,1224.857142857143,0.21428571428571427,1.7142857142857142,6020.142857142857,726.2857142857143
4.0,11.0,Nunu,Side.red,6.0,0.0,4920.0,0.0,6.0,1.5,3.0,12.0,21.0,22136.0,0.0,29.0,109911,7570,TopLane_Jungle,Few,EU,0.5,0.0,410.0,0.0,0.5,0.25,1.75,1844.6666666666667,0.0,2.4166666666666665,9159.25,630.8333333333334
4.0,14.0,Nautilus,Side.blue,2.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,14.0,6680.0,0.0,20.0,17853,4377,Other,Few,EU,0.25,0.0,0.0,0.0,0.375,0.125,1.75,835.0,0.0,2.5,2231.625,547.125
4.0,14.0,Lulu,Side.red,19.0,720.0,3379.0,720.0,9.0,2.222222222,1.0,12.0,33.0,15711.0,0.0,59.0,18443,8140,Other,Few,EU,1.5833333333333333,60.0,281.5833333333333,60.0,0.75,0.08333333333333333,2.75,1309.25,0.0,4.916666666666667,1536.9166666666667,678.3333333333334
6.0,,Hecarim,Side.blue,2.0,0.0,2971.0,0.0,4.0,0.5,0.0,9.0,7.0,14499.0,0.0,12.0,72549,4876,TopLane_Jungle,Few,EU,0.2222222222222222,0.0,330.1111111111111,0.0,0.4444444444444444,0.0,0.7777777777777778,1611.0,0.0,1.3333333333333333,8061.0,541.7777777777778
4.0,11.0,Kindred,Side.red,6.0,451.0,20655.0,451.0,5.0,1.6,2.0,12.0,2.0,19406.0,1.0,24.0,116340,8484,TopLane_Jungle,Few,EU,0.5,37.583333333333336,1721.25,37.583333333333336,0.4166666666666667,0.16666666666666666,0.16666666666666666,1617.1666666666667,0.08333333333333333,2.0,9695.0,707.0
12.0,4.0,Poppy,Side.red,8.0,4944.0,7334.0,4944.0,6.0,2.0,4.0,15.0,35.0,21993.0,1.0,22.0,96700,9861,TopLane_Jungle,Many,EU,0.5333333333333333,329.6,488.93333333333334,329.6,0.4,0.26666666666666666,2.3333333333333335,1466.2,0.06666666666666667,1.4666666666666666,6446.666666666667,657.4
,4.0,Karma,Side.red,12.0,802.0,2338.0,802.0,3.0,4.333333333,1.0,11.0,21.0,,0.0,47.0,17182,6639,Other,Few,EU,1.0909090909090908,72.9090909090909,212.54545454545453,72.9090909090909,0.2727272727272727,0.09090909090909091,1.9090909090909092,1229.0483799528752,0.0,4.2727272727272725,1562.0,603.5454545454545
14.0,12.0,Gwen,Side.blue,6.0,6202.0,15216.0,6202.0,7.0,3.0,15.0,18.0,12.0,51957.0,2.0,45.0,261314,18542,TopLane_Jungle,Many,EU,0.3333333333333333,344.55555555555554,845.3333333333334,344.55555555555554,0.3888888888888889,0.8333333333333334,0.6666666666666666,2886.5,0.1111111111111111,2.5,14517.444444444445,1030.111111111111
